   wavelength  radiance
   365.929810  2000.000000
   375.593994   -50.000000
   385.262512   -50.000000
   394.935486   -33.000000
   404.612915    26.000000
   414.294586    34.000000
   423.980804    38.000000
   433.671295    41.000000
   443.366211    42.000000
   453.065491    44.000000
   462.769196    48.000000
   472.477295    48.000000
   482.189789    50.000000
   491.906586    51.000000
   501.627899    52.000000
   511.353485    53.000000
   521.083618    55.000000
   530.817993    57.000000
   540.556824    57.000000
   550.299988    60.000000
   560.047729    61.000000
   569.799622    63.000000
   579.556030    65.000000
   589.316772    67.000000
   599.081909    70.000000
   608.851501    73.000000
   618.625427    75.000000
   628.403687    78.000000
   638.186523    81.000000
   647.973572    83.000000
   657.765076    86.000000
   667.560974    90.000000
   655.792297    87.000000
   665.599426    90.000000
   675.401184    93.000000
   685.197876    97.000000
   694.989380   100.000000
   704.775574   103.000000
   714.556580   106.000000
   724.332520   109.000000
   734.103088   114.000000
   743.868530   117.000000
   753.628723   120.000000
   763.383728   121.000000
   773.133484   126.000000
   782.878113   130.000000
   792.617371   133.000000
   802.351624   136.000000
   812.080505   140.000000
   821.804321   143.000000
   831.522827   147.000000
   841.236084   151.000000
   850.944214   154.000000
   860.647095   157.000000
   870.344788   159.000000
   880.037170   162.000000
   889.724487   165.000000
   899.406616   167.000000
   909.083374   171.000000
   918.755127   174.000000
   928.421387   174.000000
   938.082703   177.000000
   947.738708   187.000000
   957.389526   190.000000
   967.035095   192.000000
   976.675476   195.000000
   986.310608   198.000000
   995.940613   199.000000
  1005.565002   202.000000
  1015.184998   204.000000
  1024.798950   207.000000
  1034.407959   210.000000
  1044.011963   213.000000
  1053.610962   214.000000
  1063.203979   220.000000
  1072.792969   222.000000
  1082.375977   224.000000
  1091.953979   228.000000
  1101.526001   231.000000
  1111.093994   234.000000
  1120.656006   240.000000
  1130.213013   242.000000
  1139.765015   244.000000
  1149.311035   247.000000
  1158.853027   249.000000
  1168.389038   251.000000
  1177.920044   252.000000
  1187.446045   254.000000
  1196.965942   257.000000
  1206.482056   258.000000
  1215.991943   262.000000
  1225.496948   266.000000
  1234.995972   271.000000
  1244.490967   274.000000
  1253.979980   277.000000
  1263.463989   282.000000
  1253.373047   277.000000
  1263.345947   281.000000
  1273.317993   286.000000
  1283.291016   288.000000
  1293.261963   297.000000
  1303.234009   300.000000
  1313.206055   304.000000
  1323.177002   309.000000
  1333.147949   314.000000
  1343.119019   310.000000
  1353.088989   319.000000
  1363.060059   -50.000000
  1373.030029   -50.000000
  1383.000000   -50.000000
  1392.968994   -50.000000
  1402.938965   351.000000
  1412.907959   312.000000
  1422.876953   278.000000
  1432.844971   260.000000
  1442.813965   270.000000
  1452.781982   256.000000
  1462.750000   262.000000
  1472.718018   258.000000
  1482.685059   264.000000
  1492.651978   264.000000
  1502.619019   269.000000
  1512.586060   273.000000
  1522.552002   280.000000
  1532.517944   286.000000
  1542.484009   288.000000
  1552.449951   294.000000
  1562.416016   297.000000
  1572.380981   299.000000
  1582.345947   305.000000
  1592.311035   310.000000
  1602.275024   317.000000
  1612.239990   322.000000
  1622.203979   332.000000
  1632.166992   334.000000
  1642.130981   341.000000
  1652.093994   343.000000
  1662.057007   345.000000
  1672.020020   341.000000
  1681.983032   340.000000
  1691.944946   336.000000
  1701.906982   335.000000
  1711.869019   332.000000
  1721.831055   331.000000
  1731.791992   330.000000
  1741.753052   333.000000
  1751.713989   333.000000
  1761.675049   334.000000
  1771.635010   335.000000
  1781.595947   339.000000
  1791.556030   339.000000
  1801.515015   343.000000
  1811.474976   388.000000
  1821.433960   429.000000
  1831.392944   -50.000000
  1841.352051  2000.000000
  1851.310059   -50.000000
  1861.269043   -50.000000
  1871.227051   -50.000000
  1872.384033  2000.000000
  1866.864014   -50.000000
  1876.925049   -50.000000
  1886.984985  1635.000000
  1897.041992   -50.000000
  1907.095947   -50.000000
  1917.147949  1051.000000
  1927.197998   252.000000
  1937.245972   222.000000
  1947.291992   226.000000
  1957.334961   230.000000
  1967.375000   236.000000
  1977.413940   242.000000
  1987.449951   252.000000
  1997.484009   260.000000
  2007.515015   269.000000
  2017.545044   267.000000
  2027.572021   258.000000
  2037.595947   246.000000
  2047.619019   237.000000
  2057.638916   226.000000
  2067.656006   215.000000
  2077.672119   211.000000
  2087.685059   207.000000
  2097.696045   207.000000
  2107.704102   206.000000
  2117.709961   208.000000
  2127.714111   213.000000
  2137.716064   218.000000
  2147.715088   218.000000
  2157.711914   223.000000
  2167.707031   228.000000
  2177.698975   231.000000
  2187.688965   235.000000
  2197.677002   236.000000
  2207.662109   236.000000
  2217.645020   237.000000
  2227.625977   236.000000
  2237.604004   225.000000
  2247.581055   215.000000
  2257.553955   203.000000
  2267.525879   192.000000
  2277.495117   186.000000
  2287.461914   188.000000
  2297.427002   186.000000
  2307.388916   177.000000
  2317.349121   177.000000
  2327.306885   173.000000
  2337.261963   175.000000
  2347.216064   172.000000
  2357.166992   175.000000
  2367.114990   176.000000
  2377.061035   179.000000
  2387.004883   173.000000
  2396.947021   173.000000
  2406.885986   172.000000
  2416.822998   172.000000
  2426.758057   160.000000
  2436.689941   151.000000
  2446.620117   150.000000
  2456.548096   134.000000
  2466.472900   130.000000
  2476.395996   116.000000
  2486.316895   105.000000
  2496.236084   132.000000
