   wavelength  radiance
   365.929810  2000.000000
   375.593994   -40.000000
   385.262512   -37.000000
   394.935486    -7.000000
   404.612915    61.000000
   414.294586    68.000000
   423.980804    73.000000
   433.671295    75.000000
   443.366211    77.000000
   453.065491    78.000000
   462.769196    82.000000
   472.477295    81.000000
   482.189789    83.000000
   491.906586    85.000000
   501.627899    86.000000
   511.353485    88.000000
   521.083618    90.000000
   530.817993    92.000000
   540.556824    94.000000
   550.299988    96.000000
   560.047729    98.000000
   569.799622   100.000000
   579.556030   102.000000
   589.316772   103.000000
   599.081909   105.000000
   608.851501   109.000000
   618.625427   111.000000
   628.403687   114.000000
   638.186523   116.000000
   647.973572   119.000000
   657.765076   121.000000
   667.560974   125.000000
   655.792297   122.000000
   665.599426   125.000000
   675.401184   128.000000
   685.197876   131.000000
   694.989380   135.000000
   704.775574   140.000000
   714.556580   144.000000
   724.332520   148.000000
   734.103088   153.000000
   743.868530   156.000000
   753.628723   158.000000
   763.383728   161.000000
   773.133484   166.000000
   782.878113   169.000000
   792.617371   173.000000
   802.351624   176.000000
   812.080505   179.000000
   821.804321   184.000000
   831.522827   187.000000
   841.236084   189.000000
   850.944214   192.000000
   860.647095   195.000000
   870.344788   198.000000
   880.037170   201.000000
   889.724487   204.000000
   899.406616   207.000000
   909.083374   210.000000
   918.755127   215.000000
   928.421387   215.000000
   938.082703   213.000000
   947.738708   227.000000
   957.389526   231.000000
   967.035095   229.000000
   976.675476   231.000000
   986.310608   232.000000
   995.940613   235.000000
  1005.565002   236.000000
  1015.184998   238.000000
  1024.798950   241.000000
  1034.407959   243.000000
  1044.011963   246.000000
  1053.610962   248.000000
  1063.203979   251.000000
  1072.792969   255.000000
  1082.375977   257.000000
  1091.953979   260.000000
  1101.526001   263.000000
  1111.093994   267.000000
  1120.656006   266.000000
  1130.213013   275.000000
  1139.765015   278.000000
  1149.311035   283.000000
  1158.853027   280.000000
  1168.389038   280.000000
  1177.920044   279.000000
  1187.446045   282.000000
  1196.965942   282.000000
  1206.482056   286.000000
  1215.991943   289.000000
  1225.496948   291.000000
  1234.995972   295.000000
  1244.490967   298.000000
  1253.979980   300.000000
  1263.463989   305.000000
  1253.373047   301.000000
  1263.345947   303.000000
  1273.317993   308.000000
  1283.291016   311.000000
  1293.261963   315.000000
  1303.234009   317.000000
  1313.206055   318.000000
  1323.177002   321.000000
  1333.147949   331.000000
  1343.119019   330.000000
  1353.088989   224.000000
  1363.060059   -50.000000
  1373.030029  2000.000000
  1383.000000   -50.000000
  1392.968994  2000.000000
  1402.938965   -50.000000
  1412.907959   -50.000000
  1422.876953   279.000000
  1432.844971   307.000000
  1442.813965   274.000000
  1452.781982   282.000000
  1462.750000   261.000000
  1472.718018   278.000000
  1482.685059   282.000000
  1492.651978   280.000000
  1502.619019   281.000000
  1512.586060   286.000000
  1522.552002   294.000000
  1532.517944   296.000000
  1542.484009   299.000000
  1552.449951   305.000000
  1562.416016   307.000000
  1572.380981   311.000000
  1582.345947   315.000000
  1592.311035   320.000000
  1602.275024   326.000000
  1612.239990   332.000000
  1622.203979   338.000000
  1632.166992   345.000000
  1642.130981   349.000000
  1652.093994   350.000000
  1662.057007   349.000000
  1672.020020   352.000000
  1681.983032   348.000000
  1691.944946   344.000000
  1701.906982   342.000000
  1711.869019   338.000000
  1721.831055   334.000000
  1731.791992   335.000000
  1741.753052   340.000000
  1751.713989   342.000000
  1761.675049   340.000000
  1771.635010   342.000000
  1781.595947   347.000000
  1791.556030   345.000000
  1801.515015   344.000000
  1811.474976   208.000000
  1821.433960   -50.000000
  1831.392944   -50.000000
  1841.352051  2000.000000
  1851.310059  2000.000000
  1861.269043  2000.000000
  1871.227051   -50.000000
  1872.384033   -50.000000
  1866.864014   -50.000000
  1876.925049   -50.000000
  1886.984985  2000.000000
  1897.041992   -50.000000
  1907.095947  2000.000000
  1917.147949   -50.000000
  1927.197998   -50.000000
  1937.245972   229.000000
  1947.291992   409.000000
  1957.334961   335.000000
  1967.375000   267.000000
  1977.413940   264.000000
  1987.449951   272.000000
  1997.484009   281.000000
  2007.515015   299.000000
  2017.545044   284.000000
  2027.572021   269.000000
  2037.595947   261.000000
  2047.619019   248.000000
  2057.638916   236.000000
  2067.656006   229.000000
  2077.672119   224.000000
  2087.685059   221.000000
  2097.696045   221.000000
  2107.704102   222.000000
  2117.709961   223.000000
  2127.714111   226.000000
  2137.716064   232.000000
  2147.715088   236.000000
  2157.711914   240.000000
  2167.707031   242.000000
  2177.698975   246.000000
  2187.688965   249.000000
  2197.677002   250.000000
  2207.662109   251.000000
  2217.645020   251.000000
  2227.625977   248.000000
  2237.604004   240.000000
  2247.581055   227.000000
  2257.553955   216.000000
  2267.525879   207.000000
  2277.495117   203.000000
  2287.461914   202.000000
  2297.427002   198.000000
  2307.388916   191.000000
  2317.349121   188.000000
  2327.306885   192.000000
  2337.261963   187.000000
  2347.216064   187.000000
  2357.166992   188.000000
  2367.114990   191.000000
  2377.061035   197.000000
  2387.004883   195.000000
  2396.947021   193.000000
  2406.885986   183.000000
  2416.822998   181.000000
  2426.758057   183.000000
  2436.689941   174.000000
  2446.620117   165.000000
  2456.548096   161.000000
  2466.472900   151.000000
  2476.395996   119.000000
  2486.316895   -50.000000
  2496.236084   239.000000
