   wavelength   radiance
   365.929810   -50.000000
   375.593994   -50.000000
   385.262512   -50.000000
   394.935486   -31.000000
   404.612915    34.000000
   414.294586    41.000000
   423.980804    45.000000
   433.671295    48.000000
   443.366211    48.000000
   453.065491    48.000000
   462.769196    50.000000
   472.477295    47.000000
   482.189789    48.000000
   491.906586    48.000000
   501.627899    49.000000
   511.353485    52.000000
   521.083618    55.000000
   530.817993    59.000000
   540.556824    62.000000
   550.299988    64.000000
   560.047729    65.000000
   569.799622    64.000000
   579.556030    63.000000
   589.316772    60.000000
   599.081909    60.000000
   608.851501    61.000000
   618.625427    60.000000
   628.403687    61.000000
   638.186523    60.000000
   647.973572    59.000000
   657.765076    58.000000
   667.560974    57.000000
   655.792297    58.000000
   665.599426    57.000000
   675.401184    56.000000
   685.197876    61.000000
   694.989380    75.000000
   704.775574    96.000000
   714.556580   116.000000
   724.332520   134.000000
   734.103088   149.000000
   743.868530   160.000000
   753.628723   167.000000
   763.383728   169.000000
   773.133484   174.000000
   782.878113   177.000000
   792.617371   180.000000
   802.351624   184.000000
   812.080505   186.000000
   821.804321   191.000000
   831.522827   193.000000
   841.236084   195.000000
   850.944214   197.000000
   860.647095   199.000000
   870.344788   201.000000
   880.037170   204.000000
   889.724487   206.000000
   899.406616   208.000000
   909.083374   211.000000
   918.755127   215.000000
   928.421387   212.000000
   938.082703   210.000000
   947.738708   217.000000
   957.389526   214.000000
   967.035095   215.000000
   976.675476   216.000000
   986.310608   218.000000
   995.940613   221.000000
  1005.565002   224.000000
  1015.184998   226.000000
  1024.798950   230.000000
  1034.407959   232.000000
  1044.011963   235.000000
  1053.610962   238.000000
  1063.203979   240.000000
  1072.792969   243.000000
  1082.375977   245.000000
  1091.953979   246.000000
  1101.526001   248.000000
  1111.093994   248.000000
  1120.656006   250.000000
  1130.213013   243.000000
  1139.765015   243.000000
  1149.311035   238.000000
  1158.853027   232.000000
  1168.389038   231.000000
  1177.920044   233.000000
  1187.446045   234.000000
  1196.965942   234.000000
  1206.482056   236.000000
  1215.991943   239.000000
  1225.496948   241.000000
  1234.995972   245.000000
  1244.490967   249.000000
  1253.979980   251.000000
  1263.463989   255.000000
  1253.373047   251.000000
  1263.345947   251.000000
  1273.317993   257.000000
  1283.291016   256.000000
  1293.261963   256.000000
  1303.234009   255.000000
  1313.206055   256.000000
  1323.177002   249.000000
  1333.147949   245.000000
  1343.119019   230.000000
  1353.088989   206.000000
  1363.060059   -50.000000
  1373.030029   -50.000000
  1383.000000   -50.000000
  1392.968994   -50.000000
  1402.938965   -50.000000
  1412.907959   150.000000
  1422.876953   155.000000
  1432.844971   147.000000
  1442.813965   142.000000
  1452.781982   133.000000
  1462.750000   131.000000
  1472.718018   135.000000
  1482.685059   137.000000
  1492.651978   139.000000
  1502.619019   141.000000
  1512.586060   147.000000
  1522.552002   154.000000
  1532.517944   159.000000
  1542.484009   165.000000
  1552.449951   171.000000
  1562.416016   175.000000
  1572.380981   179.000000
  1582.345947   186.000000
  1592.311035   190.000000
  1602.275024   197.000000
  1612.239990   201.000000
  1622.203979   207.000000
  1632.166992   211.000000
  1642.130981   216.000000
  1652.093994   218.000000
  1662.057007   219.000000
  1672.020020   219.000000
  1681.983032   220.000000
  1691.944946   217.000000
  1701.906982   216.000000
  1711.869019   213.000000
  1721.831055   209.000000
  1731.791992   209.000000
  1741.753052   206.000000
  1751.713989   203.000000
  1761.675049   198.000000
  1771.635010   197.000000
  1781.595947   198.000000
  1791.556030   197.000000
  1801.515015   203.000000
  1811.474976   210.000000
  1821.433960   156.000000
  1831.392944   -43.000000
  1841.352051  2000.000000
  1851.310059   -50.000000
  1861.269043   -50.000000
  1871.227051   402.000000
  1872.384033   391.000000
  1866.864014   -50.000000
  1876.925049   -50.000000
  1886.984985   -50.000000
  1897.041992   -50.000000
  1907.095947   -50.000000
  1917.147949   -50.000000
  1927.197998   143.000000
  1937.245972   192.000000
  1947.291992   134.000000
  1957.334961   129.000000
  1967.375000   102.000000
  1977.413940   107.000000
  1987.449951   109.000000
  1997.484009   115.000000
  2007.515015   131.000000
  2017.545044   119.000000
  2027.572021   117.000000
  2037.595947   117.000000
  2047.619019   116.000000
  2057.638916   116.000000
  2067.656006   113.000000
  2077.672119   114.000000
  2087.685059   114.000000
  2097.696045   115.000000
  2107.704102   115.000000
  2117.709961   118.000000
  2127.714111   121.000000
  2137.716064   124.000000
  2147.715088   126.000000
  2157.711914   128.000000
  2167.707031   132.000000
  2177.698975   132.000000
  2187.688965   131.000000
  2197.677002   135.000000
  2207.662109   135.000000
  2217.645020   137.000000
  2227.625977   135.000000
  2237.604004   131.000000
  2247.581055   127.000000
  2257.553955   120.000000
  2267.525879   116.000000
  2277.495117   112.000000
  2287.461914   112.000000
  2297.427002   111.000000
  2307.388916   107.000000
  2317.349121   102.000000
  2327.306885   104.000000
  2337.261963   103.000000
  2347.216064   101.000000
  2357.166992   101.000000
  2367.114990   101.000000
  2377.061035   100.000000
  2387.004883   100.000000
  2396.947021    96.000000
  2406.885986    95.000000
  2416.822998    92.000000
  2426.758057    89.000000
  2436.689941    92.000000
  2446.620117    84.000000
  2456.548096    78.000000
  2466.472900    74.000000
  2476.395996    74.000000
  2486.316895    69.000000
  2496.236084    77.000000
