   wavelength  radiance
   365.929810  2000.000000
   375.593994   -50.000000
   385.262512   -50.000000
   394.935486   -29.000000
   404.612915    29.000000
   414.294586    38.000000
   423.980804    45.000000
   433.671295    49.000000
   443.366211    52.000000
   453.065491    55.000000
   462.769196    57.000000
   472.477295    58.000000
   482.189789    60.000000
   491.906586    61.000000
   501.627899    63.000000
   511.353485    67.000000
   521.083618    70.000000
   530.817993    74.000000
   540.556824    77.000000
   550.299988    80.000000
   560.047729    81.000000
   569.799622    83.000000
   579.556030    85.000000
   589.316772    85.000000
   599.081909    87.000000
   608.851501    91.000000
   618.625427    94.000000
   628.403687    98.000000
   638.186523   101.000000
   647.973572   102.000000
   657.765076   104.000000
   667.560974   104.000000
   655.792297   103.000000
   665.599426   104.000000
   675.401184   105.000000
   685.197876   113.000000
   694.989380   128.000000
   704.775574   145.000000
   714.556580   158.000000
   724.332520   169.000000
   734.103088   178.000000
   743.868530   185.000000
   753.628723   192.000000
   763.383728   197.000000
   773.133484   202.000000
   782.878113   207.000000
   792.617371   213.000000
   802.351624   217.000000
   812.080505   221.000000
   821.804321   227.000000
   831.522827   231.000000
   841.236084   234.000000
   850.944214   238.000000
   860.647095   241.000000
   870.344788   247.000000
   880.037170   249.000000
   889.724487   254.000000
   899.406616   257.000000
   909.083374   260.000000
   918.755127   264.000000
   928.421387   265.000000
   938.082703   267.000000
   947.738708   274.000000
   957.389526   275.000000
   967.035095   276.000000
   976.675476   279.000000
   986.310608   279.000000
   995.940613   284.000000
  1005.565002   285.000000
  1015.184998   288.000000
  1024.798950   290.000000
  1034.407959   294.000000
  1044.011963   297.000000
  1053.610962   301.000000
  1063.203979   303.000000
  1072.792969   307.000000
  1082.375977   309.000000
  1091.953979   311.000000
  1101.526001   313.000000
  1111.093994   315.000000
  1120.656006   317.000000
  1130.213013   318.000000
  1139.765015   317.000000
  1149.311035   312.000000
  1158.853027   307.000000
  1168.389038   307.000000
  1177.920044   305.000000
  1187.446045   306.000000
  1196.965942   305.000000
  1206.482056   308.000000
  1215.991943   311.000000
  1225.496948   312.000000
  1234.995972   318.000000
  1244.490967   322.000000
  1253.979980   327.000000
  1263.463989   329.000000
  1253.373047   326.000000
  1263.345947   329.000000
  1273.317993   333.000000
  1283.291016   335.000000
  1293.261963   337.000000
  1303.234009   336.000000
  1313.206055   336.000000
  1323.177002   337.000000
  1333.147949   327.000000
  1343.119019   322.000000
  1353.088989   305.000000
  1363.060059   -50.000000
  1373.030029   -50.000000
  1383.000000   -50.000000
  1392.968994   -50.000000
  1402.938965   216.000000
  1412.907959   211.000000
  1422.876953   209.000000
  1432.844971   212.000000
  1442.813965   204.000000
  1452.781982   198.000000
  1462.750000   179.000000
  1472.718018   205.000000
  1482.685059   210.000000
  1492.651978   213.000000
  1502.619019   219.000000
  1512.586060   223.000000
  1522.552002   230.000000
  1532.517944   236.000000
  1542.484009   240.000000
  1552.449951   245.000000
  1562.416016   249.000000
  1572.380981   251.000000
  1582.345947   258.000000
  1592.311035   262.000000
  1602.275024   269.000000
  1612.239990   275.000000
  1622.203979   281.000000
  1632.166992   286.000000
  1642.130981   289.000000
  1652.093994   293.000000
  1662.057007   292.000000
  1672.020020   292.000000
  1681.983032   289.000000
  1691.944946   286.000000
  1701.906982   284.000000
  1711.869019   277.000000
  1721.831055   275.000000
  1731.791992   271.000000
  1741.753052   277.000000
  1751.713989   274.000000
  1761.675049   270.000000
  1771.635010   271.000000
  1781.595947   270.000000
  1791.556030   269.000000
  1801.515015   268.000000
  1811.474976   268.000000
  1821.433960   274.000000
  1831.392944   -50.000000
  1841.352051   -50.000000
  1851.310059   -50.000000
  1861.269043  2000.000000
  1871.227051   -50.000000
  1872.384033   -50.000000
  1866.864014   -50.000000
  1876.925049   -50.000000
  1886.984985   307.000000
  1897.041992   -50.000000
  1907.095947   -50.000000
  1917.147949    71.000000
  1927.197998   155.000000
  1937.245972   185.000000
  1947.291992   162.000000
  1957.334961   173.000000
  1967.375000   170.000000
  1977.413940   178.000000
  1987.449951   181.000000
  1997.484009   184.000000
  2007.515015   187.000000
  2017.545044   185.000000
  2027.572021   182.000000
  2037.595947   178.000000
  2047.619019   172.000000
  2057.638916   165.000000
  2067.656006   160.000000
  2077.672119   158.000000
  2087.685059   158.000000
  2097.696045   156.000000
  2107.704102   157.000000
  2117.709961   159.000000
  2127.714111   163.000000
  2137.716064   165.000000
  2147.715088   169.000000
  2157.711914   173.000000
  2167.707031   175.000000
  2177.698975   177.000000
  2187.688965   180.000000
  2197.677002   181.000000
  2207.662109   182.000000
  2217.645020   184.000000
  2227.625977   181.000000
  2237.604004   174.000000
  2247.581055   167.000000
  2257.553955   157.000000
  2267.525879   148.000000
  2277.495117   145.000000
  2287.461914   146.000000
  2297.427002   142.000000
  2307.388916   138.000000
  2317.349121   135.000000
  2327.306885   133.000000
  2337.261963   134.000000
  2347.216064   133.000000
  2357.166992   135.000000
  2367.114990   134.000000
  2377.061035   135.000000
  2387.004883   133.000000
  2396.947021   131.000000
  2406.885986   132.000000
  2416.822998   126.000000
  2426.758057   122.000000
  2436.689941   119.000000
  2446.620117   110.000000
  2456.548096   102.000000
  2466.472900   103.000000
  2476.395996    92.000000
  2486.316895    67.000000
  2496.236084   102.000000
